t,best,bound,gap,nodes
0.056999921798706055,1600.0,0.0,1.0,0.0
0.05900001525878906,1600.0,0.0,1.0,0.0
0.07299995422363281,1600.0,267.0,0.833125,0.0
0.09200000762939453,1600.0,267.0,0.833125,0.0
0.11999988555908203,297.0,267.0,0.10101010101010101,0.0
0.12899994850158691,270.0,267.0,0.011111111111111112,0.0
0.13299989700317383,270.0,267.0,0.011111111111111112,0.0
0.13400006294250488,270.0,267.0,0.011111111111111112,0.0
0.1419999599456787,270.0,267.0,0.011111111111111112,0.0
0.14899992942810059,268.0,267.0,0.0037313432835820895,0.0
0.15700006484985352,268.0,267.0,0.0037313432835820895,0.0
0.1699998378753662,268.0,267.0,0.0037313432835820895,0.0
0.17799997329711914,268.0,267.0,0.0037313432835820895,0.0
0.18199992179870605,267.0,267.0,0.0,0.0
